age,campaign,previous,cons.price.idx,cons.conf.idx,nr.employed,previous_contacted,job,marital,education,housing,loan,contact,month,day_of_week,poutcome
68,22,6,92.289,-31.0,5051.1,1,services,single,basic.4y,no,yes,cellular,sep,thu,failure
31,44,1,94.534,-42.3,4980.4,0,entrepreneur,divorced,professional.course,yes,yes,telephone,apr,wed,nonexistent
88,25,3,92.865,-44.1,5045.9,1,self-employed,married,basic.4y,no,no,telephone,aug,mon,success
77,49,0,93.901,-37.8,5049.6,1,technician,single,basic.4y,yes,yes,cellular,may,thu,success
37,27,3,93.001,-47.4,5156.6,1,retired,married,basic.6y,yes,no,cellular,jun,thu,nonexistent
40,50,0,92.643,-40.3,5107.3,1,retired,divorced,basic.9y,yes,no,cellular,may,fri,success
85,7,3,94.697,-38.8,5043.5,1,retired,married,high.school,no,no,cellular,aug,wed,success
18,2,3,94.113,-42.4,5039.2,0,technician,divorced,basic.9y,no,yes,telephone,jul,fri,nonexistent
54,2,1,93.098,-27.4,5086.1,0,retired,single,university.degree,no,no,telephone,oct,wed,success
60,44,5,92.94,-46.0,5109.4,0,management,divorced,professional.course,no,no,telephone,jul,tue,failure
96,39,3,92.777,-27.6,5077.1,0,technician,single,professional.course,yes,yes,cellular,jul,thu,failure
35,33,0,94.582,-27.3,5164.2,1,blue-collar,single,professional.course,no,no,telephone,jul,mon,nonexistent
55,44,1,93.695,-45.7,5171.9,1,retired,single,basic.4y,yes,yes,telephone,jul,thu,failure
73,15,6,93.747,-39.6,5140.3,1,retired,single,basic.9y,yes,no,cellular,mar,mon,success
27,49,5,93.204,-42.4,5201.3,1,entrepreneur,single,university.degree,no,no,cellular,jul,mon,success
32,18,0,93.512,-40.7,5212.6,0,management,married,high.school,yes,no,telephone,jun,tue,failure
97,55,4,92.681,-37.7,4984.4,0,entrepreneur,single,university.degree,yes,no,cellular,jul,tue,failure
77,5,4,93.707,-49.0,5075.2,0,retired,single,basic.4y,no,no,telephone,may,thu,success
26,40,4,93.31,-45.6,4969.5,0,retired,single,high.school,yes,no,cellular,jul,wed,failure
86,54,4,92.756,-48.0,5186.2,1,retired,divorced,professional.course,yes,no,telephone,aug,mon,nonexistent
